"統計期","公私立別","性別","高等學校/總計[人]","高等學校/大學校院[人]","高等學校/專科學校[人]","中等學校/總計[人]","中等學校/高級中學[人]","中等學校/職業學校[人]","中等學校/國民中學[人]","國民小學[人]","幼兒園[人]","特殊教育[人]"
"84學年","國立","總計",18216,14779,3437,1443,1186,0,257,323,102,0
"84學年","國立","男",0,0,0,0,0,0,0,0,0,0
"84學年","國立","女",0,0,0,0,0,0,0,0,0,0
"84學年","市立","總計",1277,1078,199,59340,12063,7551,39726,39128,9254,359
"84學年","市立","男",0,0,0,0,0,0,0,0,0,0
"84學年","市立","女",0,0,0,0,0,0,0,0,0,0
"84學年","私立","總計",22984,13793,9191,25688,5882,17757,2049,1815,12462,0
"84學年","私立","男",0,0,0,0,0,0,0,0,0,0
"84學年","私立","女",0,0,0,0,0,0,0,0,0,0
"85學年","總計","總計",42957,30863,12094,88325,19353,25450,43522,39519,20726,356
"85學年","總計","男",0,0,0,0,0,0,0,20428,0,0
"85學年","總計","女",0,0,0,0,0,0,0,19091,0,0
"85學年","國立","總計",17291,15107,2184,1397,1136,0,261,314,105,0
"85學年","國立","男",0,0,0,0,0,0,0,0,0,0
"85學年","國立","女",0,0,0,0,0,0,0,0,0,0
"85學年","市立","總計",1019,800,219,60360,12182,7298,40880,37345,9540,356
"85學年","市立","男",0,0,0,0,0,0,0,0,0,0
"85學年","市立","女",0,0,0,0,0,0,0,0,0,0
"85學年","私立","總計",24647,14956,9691,26568,6035,18152,2381,1860,11081,0
"85學年","私立","男",0,0,0,0,0,0,0,0,0,0
"85學年","私立","女",0,0,0,0,0,0,0,0,0,0
"86學年","總計","總計",46444,34097,12347,86734,19930,25022,41782,34372,19895,382
"86學年","總計","男",0,0,0,0,0,0,0,17896,0,0
"86學年","總計","女",0,0,0,0,0,0,0,16476,0,0
"86學年","國立","總計",19863,17802,2061,1339,1096,0,243,310,102,0
"86學年","國立","男",0,0,0,0,0,0,0,0,0,0
"86學年","國立","女",0,0,0,0,0,0,0,0,0,0
"86學年","市立","總計",1125,929,196,58814,12964,6960,38890,32293,9681,382
"86學年","市立","男",0,0,0,0,0,0,0,0,0,0
"86學年","市立","女",0,0,0,0,0,0,0,0,0,0
"86學年","私立","總計",25456,15366,10090,26581,5870,18062,2649,1769,10112,0
"86學年","私立","男",0,0,0,0,0,0,0,0,0,0
"86學年","私立","女",0,0,0,0,0,0,0,0,0,0
"87學年","總計","總計",46389,33257,13132,84478,20910,24188,39380,33341,19863,332
"87學年","總計","男",0,0,0,0,0,0,0,17457,0,0
"87學年","總計","女",0,0,0,0,0,0,0,15884,0,0
"87學年","國立","總計",18598,16616,1982,1259,1016,0,243,291,99,0
"87學年","國立","男",0,0,0,0,0,0,0,0,0,0
"87學年","國立","女",0,0,0,0,0,0,0,0,0,0
"87學年","市立","總計",806,711,95,56940,14014,6701,36225,31406,9719,332
"87學年","市立","男",0,0,0,0,0,0,0,0,0,0
"87學年","市立","女",0,0,0,0,0,0,0,0,0,0
"87學年","私立","總計",26985,15930,11055,26279,5880,17487,2912,1644,10045,0
"87學年","私立","男",0,0,0,0,0,0,0,0,0,0
"87學年","私立","女",0,0,0,0,0,0,0,0,0,0
